Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LM_3.R1	LM_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44285702.0	0.0	50-151	35.0	91.24156216188925	150.61337740564665	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_3.R2	LM_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44285702.0	0.0	50-151	35.0	93.37711244522436	149.44864240833306	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_4.R1	LM_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81652364.0	0.0	50-151	35.0	89.03598771663222	150.61523045431974	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_4.R2	LM_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81652364.0	0.0	50-151	35.0	92.1883494164376	149.64351731445277	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_7.R1	LM_7.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36310613.0	0.0	50-151	35.0	92.3920971038925	150.63242749440778	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_7.R2	LM_7.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36310613.0	0.0	50-151	35.0	93.86961753320963	149.73898570646548	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_8.R1	LM_8.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32178870.0	0.0	50-151	35.0	92.20601603265945	150.62721994277612	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_8.R2	LM_8.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32178870.0	0.0	50-151	35.0	93.77877557821922	149.667317621781	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_1.R1	LOLA_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44848196.0	0.0	50-151	36.0	90.8096540830107	150.60408837849354	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_1.R2	LOLA_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44848196.0	0.0	50-151	36.0	92.53930523855868	149.63871122040226	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_2.R1	LOLA_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32569870.0	0.0	50-151	35.0	92.66948509242053	150.62469733529792	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_2.R2	LOLA_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32569870.0	0.0	50-151	35.0	94.11804292010886	149.68479837346604	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_3.R1	LOLA_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34100928.0	0.0	50-151	35.0	92.58611404904914	150.6280115895966	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_3.R2	LOLA_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34100928.0	0.0	50-151	35.0	94.02838171290219	149.74510154093167	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_4.R1	LOLA_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39646977.0	0.0	50-151	35.0	89.77951178194277	150.56912719978627	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_4.R2	LOLA_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39646977.0	0.0	50-151	36.0	92.1942455611499	149.42892579174446	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_5.R1	LOLA_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33068176.0	0.0	50-151	35.0	91.74164240318507	150.5825090262009	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_5.R2	LOLA_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33068176.0	0.0	50-151	35.0	92.50594795129636	149.6947588218957	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_6.R1	LOLA_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37545125.0	0.0	50-151	36.0	90.83168794140444	150.54265801485545	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
LOLA_6.R2	LOLA_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37545125.0	0.0	50-151	36.0	91.61542809718732	149.53196589437377	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_1.R1	NEH_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30347978.0	0.0	50-151	35.0	91.6806992388959	150.59759655157256	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_1.R2	NEH_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30347978.0	0.0	50-151	35.0	93.76511344786039	149.6601365336432	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
NEH_2.R1	NEH_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35143983.0	0.0	50-151	35.0	94.11422661162528	150.7105881823355	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
NEH_2.R2	NEH_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35143983.0	0.0	50-151	35.0	93.62407903079082	150.12967169942007	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_3.R1	NEH_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49751381.0	0.0	50-151	36.0	93.19873485639904	150.69541074648762	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
