,X,Sample.ID,vcf_ID,vcf_order,Region,Ecotype,Wild.Sel,Pop,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,atlantic.wild.subset,atlantic.selection.subset,exclude.LM,unrelated,envi.assoc
61,22,NEH_5,NEH_5,61,DelBay,Selected,S,NEH93,NA,NA,NEH,5,72,NA,no gonadal material,NA,14_DelBay_Sel_NEH,#7fcdff,DelBay_Sel_NEH,0,1,1,1,0
62,23,NEH_6,NEH_6,62,DelBay,Selected,S,NEH93,NA,NA,NEH,6,72,M?,NA,NA,14_DelBay_Sel_NEH,#7fcdff,DelBay_Sel_NEH,0,1,1,1,0
63,87,NG_NH0H4,NG_NH0H4,63,RU Inbred,NA,I,RU Inbred,NA,NA,NG,NH0H4,NA,NA,parent - female,NA,19_Inbred_RU_NG,#9c0000,Inbred_RU_NG,0,0,1,1,0
64,88,NG_NH2F6,NG_NH2F6,64,RU Inbred,NA,I,RU Inbred,NA,NA,NG,NH2F6,NA,F,selfing progeny - female,NA,19_Inbred_RU_NG,#9c0000,Inbred_RU_NG,0,0,1,0,0
65,89,NG_NH2F8,NG_NH2F8,65,RU Inbred,NA,I,RU Inbred,NA,NA,NG,NH2F8,NA,F,selfing progeny - female,NA,19_Inbred_RU_NG,#9c0000,Inbred_RU_NG,0,0,1,0,0
66,90,NG_NH2M1,NG_NH2M1,66,RU Inbred,NA,I,RU Inbred,NA,NA,NG,NH2M1,NA,M,selfing progeny - male,NA,19_Inbred_RU_NG,#9c0000,Inbred_RU_NG,0,0,1,0,0
67,54,OBOYS2_1,OBOYS2_1,67,Louisiana,Selected,S,OBOYS2,NA,NA,OBOYS2,1,130,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel,#1da2d8,Louisiana_Sel,0,0,1,1,0
68,55,OBOYS2_2,OBOYS2_2,68,Louisiana,Selected,S,OBOYS2,NA,NA,OBOYS2,2,150,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel,#1da2d8,Louisiana_Sel,0,0,1,1,0
69,56,OBOYS2_3,OBOYS2_3,69,Louisiana,Selected,S,OBOYS2,NA,NA,OBOYS2,3,122,M,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel,#1da2d8,Louisiana_Sel,0,0,1,0,0
70,57,OBOYS2_4,OBOYS2_4,70,Louisiana,Selected,S,OBOYS2,NA,NA,OBOYS2,4,127,M,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel,#1da2d8,Louisiana_Sel,0,0,1,0,0
71,58,OBOYS2_5,OBOYS2_5,71,Louisiana,Selected,S,OBOYS2,NA,NA,OBOYS2,5,144,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel,#1da2d8,Louisiana_Sel,0,0,1,1,0
72,59,OBOYS2_6,OBOYS2_6,72,Louisiana,Selected,S,OBOYS2,NA,NA,OBOYS2,6,128,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel,#1da2d8,Louisiana_Sel,0,0,1,1,0
73,42,SL_1,SL_1,73,Louisiana,NA,W,Sister Lake,NA,NA,SL,1,118,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,0,0,1,1,1
74,43,SL_2,SL_2,74,Louisiana,NA,W,Sister Lake,NA,NA,SL,2,160,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,0,0,1,1,1
